month,year,fips_state_county_code,population,date,grand_total_arrests,grand_total_black,grand_total_white,grand_total_asian,grand_total_amer_ind,grand_total_male,grand_total_female,arrest_rate_gt_arrests,arrest_rate_gt_black,arrest_rate_gt_white,arrest_rate_gt_asian,arrest_rate_gt_amer_ind,arrest_rate_gt_male,arrest_rate_gt_female,post_treatment,treatment
April,2019,08001,466854,2019-04-01,2691,176,2477,31,7,1783,908,576.4114691102571,37.699152197475016,530.5727272337818,6.640191580237076,1.4993980987632107,381.9181157278292,194.4933533824279,0,0
April,2019,08013,317073,2019-04-01,1038,55,978,2,3,767,271,327.3694070450653,17.34616318639556,308.4463199326338,0.6307695704143841,0.946154355621576,241.9001302539163,85.46927679114904,0,0
April,2019,08014,70798,2019-04-01,176,5,168,3,0,113,63,248.59459306760078,7.062346393965932,237.2948388372553,4.237407836379559,0.0,159.60902850363004,88.98556456397073,0,0
April,2019,08031,728941,2019-04-01,3227,645,2506,28,44,2412,815,442.6970083998568,88.48452755435625,343.78639697863065,3.8411887930573254,6.0361538176615115,330.89097745908106,111.80603094077574,0,1
April,2019,08041,722447,2019-04-01,1910,339,1542,20,9,1297,613,264.3792555024798,46.9238573902307,213.44126281927947,2.7683691675652335,1.2457661254043548,179.52874051660538,84.8505149858744,0,0
April,2020,08001,470626,2020-04-01,1021,95,909,14,3,743,278,216.9450901565149,20.18588008312333,193.14699995325375,2.9747612754076482,0.6374488447302105,157.87483054484878,59.07025961166616,0,0
April,2020,08013,315516,2020-04-01,400,26,359,4,11,323,77,126.77645507676314,8.240469579989604,113.78186843139491,1.2677645507676314,3.486352514610987,102.37198747448625,24.404467602276906,0,0
April,2020,08014,71795,2020-04-01,52,5,47,0,0,36,16,72.4284420920677,6.964273278083432,65.46416881398426,0.0,0.0,50.142767602200706,22.285674489866985,0,0
April,2020,08031,737709,2020-04-01,1580,328,1226,15,10,1244,336,214.17659266729834,44.46197619928726,166.19019152538468,2.033322082284478,1.3555480548563186,168.63017802412602,45.546414643172305,0,1
April,2020,08041,726916,2020-04-01,1558,246,1286,17,8,1133,425,214.3301289282393,33.84159930445883,176.91177522574824,2.3386471064056917,1.1005398147791492,155.863951268097,58.4661776601423,0,0
August,2019,08001,466854,2019-08-01,2790,196,2558,32,2,1930,860,597.6172422213368,41.9831467653699,547.9229052337562,6.854391308631821,0.4283994567894888,413.4054758018567,184.2117664194802,0,0
August,2019,08013,317073,2019-08-01,1535,59,1453,21,2,1121,414,484.1156452930398,18.60770232722433,458.25409290605,6.623080489351033,0.6307695704143841,353.5463442172623,130.5693010757775,0,0
August,2019,08014,70798,2019-08-01,164,6,152,4,2,110,54,231.64496172208257,8.474815672759117,214.6953303765643,5.649877115172745,2.8249385575863726,155.3716206672505,76.27334105483206,0,0
August,2019,08031,728941,2019-08-01,3468,716,2669,30,49,2545,923,475.75866908295734,98.22468485103732,366.1476031667858,4.115559421132849,6.72208038785032,349.1366242261033,126.62204485685399,0,1
August,2019,08041,722447,2019-08-01,2266,396,1843,21,5,1548,718,313.65622668514095,54.81370951779162,255.10521879113625,2.906787625943495,0.6920922918913084,214.27177356954903,99.38445311559188,0,0
August,2020,08001,470626,2020-08-01,1321,101,1211,4,5,984,337,280.689974629536,21.46077777258375,257.3168503227616,0.8499317929736138,1.0624147412170173,209.08322107150903,71.60675355802697,1,0
August,2020,08013,315516,2020-08-01,854,39,800,11,4,651,203,270.6677315888893,12.360704369984406,253.55291015352628,3.486352514610987,1.2677645507676314,206.32868063743203,64.3390509514573,1,0
August,2020,08014,71795,2020-08-01,63,4,58,1,0,47,16,87.74984330385125,5.571418622466746,80.78557002576781,1.3928546556166865,0.0,65.46416881398426,22.285674489866985,1,0
August,2020,08031,737709,2020-08-01,1883,361,1494,15,12,1384,499,255.24969872944482,48.935284780313104,202.51887939553401,2.033322082284478,1.6266576658275824,187.6078507921145,67.6418479373303,1,1
August,2020,08041,726916,2020-08-01,1692,254,1416,12,7,1166,526,232.76417082579005,34.942139119237986,194.7955472159094,1.650809722168724,0.9629723379317555,160.403678004061,72.36049282172905,1,0
December,2019,08001,466854,2019-12-01,2238,155,2063,19,1,1591,647,479.378992147438,33.200957901185376,441.89403967835773,4.069794839500143,0.2141997283947444,340.7917678760383,138.58722427139963,0,0
